1,"﻿가정에서 환자를 간호하려면 얼마나 많은 친구나 친척들이 필요합니까?","
				
        환자를 돌보는 가족들의 부담을 서로 나누어 하는 것이 바람직합니다. 각 환자의 필요에 따라 환자를 돌보는 사람들의 수도 다릅니다. 호스피스 간호사가 환자의 필요들을 결정하는것에 도움을 줄 수 있습니다.

			","http://sev.iseverance.com/customer/faq/hopital_faq/view.asp?con_no=1425&page=3&SearchField=&SearchWord=&rnum=38&orderBy=open_date DESC또는
"
2,"가족이 같이 입원할 경우¸ 같은 병실에 입원할 수 있나요?","
				
        예¸ 부부 또는 가족일 경우에는 성별에 상관없이 2인용 병실에 같이 입원하실 수 있습니다.

			","http://sev.iseverance.com/customer/faq/hopital_faq/view.asp?con_no=3219&page=2&SearchField=&SearchWord=&rnum=20&orderBy=open_date DESC
"
3,"검진결과는 어떻게 받나요? ","종합검진결과는 검진 후 7~10일 정도 걸립니다.검진결과는 검진센터에 직접 내원하셔서 전문의의 상세한 검진결과를 상담 받으실 수 있거나 전화로 상담을 받으실 수 있으며 결과지는 우편으로 보내드립니다.부부검진시 한분만 오셔서 결과상담 가능하며 보호자가 대신 상담 가능합니다.","http://sev.iseverance.com/health/health_reserve/faq/view.asp?con_no=5388&page=1&SearchField=&SearchWord=&rnum=11&orderBy=open_date DESC
"
4,"검진결과에 이상이 있으면 어떤 조치를 해주시나요? ","전문진료가 필요한 경우는 원하시면 신촌세브란스병원에 진료예약을 해드립니다. 대학병원 진료에 필요한 진료의뢰서를 발행해드리며 진료에 필요한 자료를 드립니다.","http://sev.iseverance.com/health/health_reserve/faq/view.asp?con_no=5383&page=1&SearchField=&SearchWord=&rnum=15&orderBy=open_date DESC
"
5,"검진당일 샤워나 양치질도 하면 안되나요? ","검진 당일 가벼운 샤워나 양치질은 하셔도 상관없습니다.","http://sev.iseverance.com/health/health_reserve/faq/view.asp?con_no=5380&page=2&SearchField=&SearchWord=&rnum=18&orderBy=open_date DESC
"
6,"검진시 위내시경과 위장X-선 촬영 중 어떤 검사를 받아야 할까요? ","저희 건강증진센터에서는 고객 여러분의 정확한 위검사를 위하여 내시경검사를 우선으로 하며¸ 경우에 따라서 위장조영촬영검사를 시행합니다.","http://sev.iseverance.com/health/health_reserve/faq/view.asp?con_no=5386&page=1&SearchField=&SearchWord=&rnum=13&orderBy=open_date DESC
"
7,"고혈압을 가지고 있습니다¸ 운동을 하면 좋다고 하는데 어떤 점이 좋은가요?","혈압은 수축기혈압인 120 mmHg¸ 이완기혈압인 80 mmHg를 정상 혈압이라고 합니다.고혈압은 수축기혈압과 이완기혈압이 정상인보다 높은 것을 말합니다.고혈압인 경우는 안정시 혈압이 140/90 mmHg 이상인 사람을 말하며 고혈압인 사람이 운동을 하게되면 심장기능 및 폐기능이 향상되고 혈관의 탄력성과 혈류량을 증가시켜 혈압은 낮아지게 됩니다. 아울러 다른 모든 성인병의 위험요소가 감소되고 전신운동으로 인한근력이 향상하게 되어 운동능력이 좋아지게 됩니다.전신운동으로는 수영¸ 걷기¸ 조깅 등이 좋습니다.근력운동은 혈압을 오히려 증가시키기 때문에 되도록 실시하지 않는 것이 좋습니다. 그리고 식생활의 개선도 중요합니다.","http://sev.iseverance.com/health/health_reserve/faq/view.asp?con_no=5753&page=1&SearchField=&SearchWord=&rnum=5&orderBy=open_date DESC
"
8,"교통사고 환자입니다. 진료비는 어떻게 처리되나요? ","
				
        교통사고로 세브란스병원을 내원하신 경우¸ 자동차보험회사에 요청하여 진료비지불보증서를 병원으로 발송토록하셔야 합니다. 진료비는 그 보증서에 따라 처리됩니다. ( FAX : 응급실 312-9995¸ 입원원무과 393-1633 )

			","http://sev.iseverance.com/customer/faq/hopital_faq/view.asp?con_no=3231&page=1&SearchField=&SearchWord=&rnum=10&orderBy=open_date DESC또는
"
9,"단기입원실이란 무엇인가요?","
				
        소화기내과 간암환자중 색전(ANGIO)치료를 목적으로 내원하는 환자가 이용하는 병실이며¸ 입원기간은 대략 4박5일 정도입니다.

			","http://sev.iseverance.com/customer/faq/hopital_faq/view.asp?con_no=3221&page=2&SearchField=&SearchWord=&rnum=19&orderBy=open_date DESC또는
"
10,"당뇨병이 있습니다¸ 운동을 하면 좋다고 하는데 어떤 점이 좋은가요?","당뇨는 일반적으로 대사장애에 의한 것입니다. 운동을 하게되면 우선 강한 운동이나 짧은 운동은 되도록 피하며 장시간 움직일 수 있는 가벼운 도보나 산책을 이용한 유산소 운동을 실시하여야 합니다.주의할 점은 저혈당 증세에 대비해서 사탕 및 각설탕을 준비하는 것이 좋습니다.운동의 효과는 인슐린의 효능을 높여 필요량을 줄이며 혈당조절을 돕습니다. 그리고 심혈관질환(동맥경화증¸ 심장병¸ 중풍¸ 고혈압)의 발생 위험이 감소되며 전신을 순환하여 심장으로 들어오는 혈류량을 개선시키고 폐기능이 향상되며 동시에 혈압이 개선됩니다. 또한 위축되기 쉬운 근력을 향상시키고 혈액순환이 잘 되게 하며 혈전증의 예방에 도움을 줄뿐만 아니라 정신적으로 안정감¸ 불안감 해소¸ 숙면¸ 스트레스를 해소해주며 생활의 활력을 얻고 삶의 질을 높일 수 있습니다.","http://sev.iseverance.com/health/health_reserve/faq/view.asp?con_no=5750&page=1&SearchField=&SearchWord=&rnum=8&orderBy=open_date DESC
"
11,"만약 의사가 호스피스에 대해 모른다면 어떻게 해야 하나요","
				
        한국에서 10년 이상 호스피스 간호가 이루어져 왔지만 아직도 많은 의사들이 호스피스에 관한 관심과 지식이 부족한 것이 사실입니다. 그러므로 담당간호사나 전화를 이용하거나 또는 직접 호스피스 사무실로 요청하십시오. 전화번호는 ☏ 361-7653입니다. 안내책자도 준비되어 있습니다. 만약 세브란스 의료원외에 지역에서 호스피스 간호를 원하신다면 저희가 의뢰하는데 도움을 드릴 수 있습니다.

			","http://sev.iseverance.com/customer/faq/hopital_faq/view.asp?con_no=1420&page=3&SearchField=&SearchWord=&rnum=42&orderBy=open_date DESC또는
"
12,"병실료는 어떻게 산정되나요? ","
				
        당일 12시(정오)부터 익일 12시(정오)까지를 1일로 산정합니다.
00:00~06:00 사이에 입원하시거나¸ 18:00~24:00 사이에 퇴원하시는 경우 입원료의 50%가 가산됩니다.

			","http://sev.iseverance.com/customer/faq/hopital_faq/view.asp?con_no=3226&page=1&SearchField=&SearchWord=&rnum=13&orderBy=open_date DESC또는
"
